Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ISL,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
IND,,26900,26300,27200,26800,25200,23100,21500,20800,20500,21300,21600,21800,21400,21400,20900,20200,19400,19000,18800,18300,17500
IDN,,19900,18000,16500,15500,15200,15700,16200,16900,17500,17800,17400,16700,16000,15700,15100,14300,13200,11900,10500,9400,8600
IRN,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5200,5500,5800,5700,5500,5200,5000,5000,5000
IRQ,,,,,,,,,,,,,,,,,,,,,,
IRL,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
IMY,,,,,,,,,,,,,,,,,,,,,,
ISR,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
ITA,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
JAM,,9000,8600,8100,8100,8100,8200,8000,7800,7400,6900,6700,6600,6800,6900,7000,7000,7300,7800,8500,8700,8700
JPN,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
JOR,,6700,7600,8600,8700,8600,8300,8300,8100,7400,6100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
KAZ,,5000,5000,5000,5000,5000,5000,7800,11700,11600,8000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
KEN,,35600,36200,34100,32500,31900,32000,31900,31300,31800,32800,34300,35400,35300,34100,32900,32500,32800,32400,31800,30900,30400
KIR,,8800,7600,7300,7100,7100,7400,7500,7400,7200,7100,7200,7200,7100,6700,6500,6300,6300,6500,7000,7500,8200
PRK,,25400,27600,28900,30600,33100,34800,35800,36100,36500,37000,36900,36300,35300,35100,36100,38300,40000,39700,37400,34100,32000
KOR,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
KSV,,,,,,,,,,,,,,,,,,,,,,
KWT,,28700,23700,12300,6000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
KGZ,,15500,13900,15800,15600,13800,12500,13200,14500,16100,15800,14400,11900,10200,9400,9400,9300,9200,8600,8000,7100,6400
LAO,,44600,45300,45500,45000,44100,43000,42300,41500,40800,39500,38400,37200,36000,34700,33400,32200,30800,29400,28400,28000,27800
LCN,,15066.12116,14526.61307,14208.47575,13917.10186,13633.83084,13446.5707,13231.64647,12916.4158,12711.37783,12388.45391,12094.95127,11750.06617,11477.89728,11254.12599,10969.22756,10576.81029,10138.68225,9848.128593,9575.433398,9369.155319,9264.586773
LAC,,15352.57751,14845.23722,14529.77169,14231.2999,13944.55307,13753.1127,13535.18152,13213.60731,13004.11018,12666.7718,12358.19719,11995.96511,11711.14715,11478.97069,11183.98753,10776.92138,10322.61976,10022.63878,9741.411878,9528.129501,9419.283623
LVA,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
LDC,,39967.58463,41265.75961,41525.40836,41145.21189,40119.63857,38701.21975,37055.92201,35419.72116,33921.84646,32848.57938,32046.8295,31403.10585,30697.66202,30016.96852,29425.22173,29092.59029,28810.37606,28679.19039,28572.45796,28681.83424,28705.05984
LBN,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
LSO,,16900,16500,17100,17900,18000,17700,17300,17200,17200,17100,16900,16700,16400,16200,16300,16800,17100,17000,16500,16300,16600
LBR,,32900,34600,38700,40400,39200,36600,34800,34300,34400,34900,34400,33400,31500,30100,29600,29500,29400,29600,30200,30900,31400
LBY,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
LIE,,,,,,,,,,,,,,,,,,,,,,
LTU,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
LMY,,23121.33788,22982.88257,22355.99527,21540.96795,20639.27858,19781.66491,19091.83331,18663.75384,18335.20589,17947.48993,18100.70193,17906.57817,17512.83283,17173.87463,16441.33622,16209.23269,15702.01157,15150.80499,15174.78897,14982.53365,14532.43941
LIC,,38969.73924,40557.3944,41002.2924,40801.9351,39927.79417,38622.39029,37018.75209,35389.26054,33968.35019,33042.16101,32393.67261,31846.45209,31088.07035,30291.66334,29624.3169,29327.70823,29102.19937,28858.27834,28518.58799,28314.5486,28153.95266
LMC,,24750.03886,24354.29361,24187.28069,23410.08537,22240.1716,21035.04291,20191.08357,19832.89736,19645.63809,19625.5055,20003.30318,19887.72348,19402.07385,19144.55558,18296.6779,17972.8794,17316.67988,16660.19184,16636.90123,16287.04137,15576.57247
LUX,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
MAC,,,,,,,,,,,,,,,,,,,,,,
MKD,,5000,,,,,,,,,5000,,,,,5000,,,5000,,,5000
MDG,,24800,27200,28600,29700,30300,30500,30700,31000,31600,32400,33200,32800,31500,29400,28100,27700,28300,29100,30400,31700,33400
MWI,,44800,44500,42100,38500,35800,33000,30600,28400,27200,26800,27300,27700,27400,26200,24700,23600,23100,23000,23200,23200,23100
MYS,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
MDV,,10900,9900,9500,9700,9900,10100,9900,9600,9400,9500,10200,10800,11100,10600,10100,9300,8500,7400,6500,5900,5600
MLI,,25300,26400,26600,26600,26100,25300,24200,23300,22400,21500,20700,19600,18300,16700,14700,12800,10900,9500,8400,8000,7900
MLT,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
MHL,,,,,,,,,,,,,,,,,,,,,,
MRT,,12400,11800,11700,11100,10500,9700,9400,9400,9600,9400,9200,9000,9300,9200,8900,8200,7800,7900,8400,9000,9300
MUS,,8600,8200,7900,7600,7500,7400,7300,7000,6700,6500,6300,6200,6100,5900,5900,5800,5800,5600,5600,5500,5700
MEX,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
FSM,,,,,,,,,,,,,,,,,,,,,,
MEA,,6957.160688,6944.909299,7056.138173,7149.489427,7154.491614,7137.404324,7132.503597,7153.09463,7154.23951,7066.346989,7045.313174,7009.917264,7044.573856,7119.72063,7131.399717,7130.826558,7092.810383,7019.889808,7102.883612,7177.669113,7197.624739
MNA,,6973.090981,7116.64407,7239.707869,7342.990157,7364.148388,7345.233852,7339.623682,7362.472542,7365.107309,7325.858502,7252.34477,7218.625082,7263.23442,7353.603821,7431.256081,7381.234544,7346.540309,7326.160501,7371.669233,7461.210193,7546.850597
MIC,,21329.49429,20913.68301,20143.05144,19236.18197,18310.84444,17486.25081,16887.02389,16586.59773,16374.40217,16086.68226,16271.90457,16105.04847,15740.87411,15444.66274,14729.30887,14446.14733,13883.67662,13319.56537,13328.51986,13119.05324,12654.18566
MDA,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
MCO,,,,,,,,,,,,,,,,,,,,,,
MNG,,37500,47500,52400,52600,48500,45600,43600,41900,39800,37600,35900,34800,34100,33400,32500,31200,29200,27600,26300,25600,24200
MNE,,,,,,,,,,,,,,,,,,,5000,,,5000
MAR,,7100,7900,7700,7200,6500,6100,6000,6200,6300,6200,5800,5500,5300,5200,5200,5100,5100,5200,5300,5400,5500
MOZ,,57100,59300,59000,56300,51700,47900,45600,45100,45000,45300,45200,44600,43100,41400,40300,39900,40100,39900,39700,39300,39200
MMR,,,,,,,,,,,,,,,,,,,,,,
NAM,,37500,38800,39200,38300,37200,35900,34300,31200,27800,24900,23600,23200,23800,25000,26800,28800,30900,32700,33800,34200,33900
NPL,,25900,26000,26500,26900,27100,27100,26600,26000,25100,24500,24000,23500,22700,22100,21700,21600,20900,20100,19000,18400,18000
NLD,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
NCL,,6700,7200,7600,7700,7500,7100,7000,7000,7000,6700,6600,6600,6800,6800,6800,6900,6500,5800,5000,5000,5000
NZL,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
NIC,,55100,52600,49800,46900,44900,43400,42300,40200,37500,34300,31300,29500,28400,27700,26700,25700,24700,23900,22700,21500,20100
NER,,36900,41400,41600,39400,36300,32900,30500,28700,27200,25800,24300,23300,22500,21600,20000,18100,15500,13600,12100,12400,12600
NGA,,19300,14600,13400,12500,11700,10800,10100,9700,9900,10200,10100,9400,8300,7400,6800,6700,6900,7300,7700,8100,8500
NAC,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
MNP,,,,,,,,,,,,,,,,,,,,,,
NOR,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
OED,,5038.736519,,,,,,,,,5000,,,,,5000,,,5000,,,5000
OMN,,,,,,,,,,,,,,,,,,,,,,
OSS,,24784.91973,24703.84079,24900.65349,24968.95963,25367.20153,25709.77556,25830.26907,25069.38086,24043.81655,22981.86456,22271.05139,21686.69527,21296.79273,21190.77152,21291.90196,21448.29017,21434.6573,20848.7221,21354.70448,21527.35325,20749.51074
PSS,,11347.55157,10747.20994,10223.11783,9500.88626,8829.952536,8309.026752,8092.122293,8039.253289,8018.991756,7928.966907,7750.304443,7616.22119,7484.042224,7434.94033,7391.09819,7395.679118,7404.253772,7390.638745,7440.167631,7557.829128,7743.21158
PAK,,26400,26200,25100,23700,23200,23200,23500,24100,24000,24000,23900,24100,24000,23400,22800,22100,21400,20800,20400,20300,19900
PLW,,,,,,,,,,,,,,,,,,,,,,
PAN,,22800,21400,20700,21100,23300,23900,24200,23800,25300,25700,24100,21900,20600,20800,19700,17700,15000,13100,12000,11100,10200
PNG,,,,,,,,,,,,,,,,,,,,,,
PRY,,19700,19200,17900,16300,15300,14800,14200,13800,13300,13000,12100,11400,11200,11700,12600,13600,15000,16800,19300,22100,25500
PER,,32600,29700,28400,27400,25700,24100,23300,23000,22900,22500,22800,23600,24300,23400,21400,19300,17500,15900,14200,12600,11200
PHL,,24200,24200,22800,22000,21300,21400,21500,21200,20900,20900,21000,20900,20300,19400,18000,16600,15900,15900,16200,16600,17000
POL,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
PRT,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
PRI,,,,,,,,,,,,,,,,,,,,,,
QAT,,,,,,,,,,,,,,,,,,,,,,
ROM,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
RUS,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
RWA,,52600,50800,53300,56800,60100,62200,61300,58000,51800,46500,43100,42700,43100,43000,42100,40200,37600,34200,31500,29700,28900
WSM,,12800,14600,14500,13300,11900,10500,8900,7200,5900,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
SMR,,,,,,,,,,,,,,,,,,,,,,
STP,,22600,22600,22800,23600,24400,24800,23700,21300,18000,14800,12600,11300,10700,9900,8900,8100,7600,7500,7500,7500,7700
SAU,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
SEN,,21700,22500,23500,24200,25700,26100,26000,25200,24700,24200,23500,22000,20200,18300,16900,15700,15400,16500,18400,20400,20500
SRB,,,,,,,,,,,,,,,,,,,5000,,,5000
SYC,,14600,12100,10500,9300,8400,7900,8000,8500,9400,10400,11100,10700,9800,8800,8300,8300,8600,8700,8600,8600,8600
SLE,,41900,40700,39000,37400,36200,36100,37400,39300,40800,41100,40600,40000,38900,37300,35500,34400,33900,33100,31800,30200,28800
SGP,,,,,,,,,,,,,,,,,,,,,,
SXM,,,,,,,,,,,,,,,,,,,,,,
SVK,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
